"","time","route","flow","signals","distance","seatbelts","passengers","age","gender","marital","children","income","year","origin"
"108",7,1,385,7,36,0,0,2,1,1,0,1,85,0
"109",7,1,565,13,51,1,0,4,0,1,0,1,80,0
"110",7,1,805,7,36,1,0,2,0,1,0,0,85,0
"111",10,1,540,7,36,1,0,2,0,1,0,0,73,1
"112",14,1,350,10,58,1,0,2,0,0,0,1,84,1
"113",14,1,350,10,58,0,0,3,0,1,0,0,85,0
"114",14,0,220,7,71,1,0,3,1,0,0,1,82,0
"115",14,1,550,10,58,1,0,1,0,1,0,0,81,1
"116",7,1,720,7,36,1,0,2,1,0,0,0,84,1
"117",13,1,770,13,51,0,2,2,1,0,0,0,84,1
"118",10,1,540,7,36,1,1,2,1,0,0,0,86,0
"119",10,1,385,8,42,1,0,2,0,1,0,0,82,1
"120",16,1,400,8,42,1,0,3,1,1,0,1,86,0
"121",14,1,540,10,58,0,0,3,1,1,0,2,67,1
"122",6,1,380,7,36,0,0,3,1,0,1,0,82,1
"123",14,1,400,8,42,1,0,3,0,1,1,1,84,0
"124",17,1,540,10,58,1,0,2,0,1,0,0,82,1
"125",12,1,515,7,36,1,0,5,0,0,0,1,86,1
"126",12,1,350,7,36,1,0,2,0,1,0,0,82,0
"127",10,1,375,8,42,0,0,5,0,1,0,0,70,1
"128",15,1,985,17,51,0,0,3,1,0,0,1,84,0
"129",13,0,130,5,74,0,0,1,1,0,0,1,82,0
"130",11,1,600,17,50,0,0,2,0,0,0,3,83,0
"131",6,1,385,8,53,1,2,3,0,1,0,1,85,0
"132",14,1,705,17,50,1,0,2,0,0,0,2,82,0
"133",9,1,985,14,51,1,0,2,1,1,0,1,82,1
"134",10,1,555,17,51,0,0,2,1,0,0,2,81,1
"135",7,1,385,7,47,1,0,1,0,1,0,0,84,1
"136",13,1,405,7,47,1,0,2,0,1,0,3,81,0
"137",17,0,365,3,90,1,0,4,1,0,0,1,80,1
"138",8,1,335,7,47,0,0,5,0,1,0,2,82,1
"139",12,1,375,7,47,1,0,2,1,0,0,1,83,0
"140",14,0,200,5,74,0,1,2,1,1,0,0,84,1
"141",10,1,400,8,53,1,0,2,0,1,0,2,84,0
"142",18,1,385,7,47,1,0,3,0,0,0,0,72,0
"143",13,1,350,11,32,0,0,4,1,0,2,2,80,1
"144",7,1,900,17,51,0,0,3,1,1,0,4,85,1
"145",18,1,805,7,47,0,1,3,1,0,0,1,85,1
"146",18,1,805,8,53,0,1,2,0,0,0,1,85,1
"147",21,1,600,8,53,1,0,2,1,1,0,2,80,0
"148",15,1,450,13,62,0,0,3,1,1,0,2,85,1
"149",10,1,385,7,47,0,0,3,0,1,0,0,76,0
"150",10,0,220,7,64,1,0,2,1,1,0,2,83,1
"151",9,1,660,17,51,1,0,2,1,0,2,2,84,1
